split,model_family,target,accuracy,balanced_accuracy,precision,recall,f1,brier,true_positive_rate,predicted_positive_rate,is_degenerate_classifier,n_predictions,roc_auc,first_prediction_date,last_prediction_date
0,price_only_baseline_majority,next_5d_positive_return,0.6324110671936759,0.5,0.6324110671936759,1.0,0.774818401937046,0.3675889328063241,0.6324110671936759,1.0,1.0,253.0,0.5,,
0,price_only_logistic,next_5d_positive_return,0.6324110671936759,0.5,0.6324110671936759,1.0,0.774818401937046,0.23238234823986365,0.6324110671936759,1.0,1.0,253.0,0.5436827956989247,2020-01-02,2020-12-31
0,price_only_logistic_l2,next_5d_positive_return,0.6324110671936759,0.5,0.6324110671936759,1.0,0.774818401937046,0.23238234823986365,0.6324110671936759,1.0,1.0,253.0,0.5436827956989247,2020-01-02,2020-12-31
0,price_only_logistic_elasticnet,next_5d_positive_return,0.6324110671936759,0.5,0.6324110671936759,1.0,0.774818401937046,0.23230443298494807,0.6324110671936759,1.0,1.0,253.0,0.5358198924731183,2020-01-02,2020-12-31
0,price_only_random_forest,next_5d_positive_return,0.549407114624506,0.5221774193548387,0.6493506493506493,0.625,0.6369426751592356,0.24970780845374474,0.6324110671936759,0.6086956521739131,0.0,253.0,0.5317204301075269,2020-01-02,2020-12-31
1,price_only_baseline_majority,next_5d_positive_return,0.6507936507936508,0.5,0.6507936507936508,1.0,0.7884615384615384,0.3492063492063492,0.6507936507936508,1.0,1.0,252.0,0.5,,
1,price_only_logistic,next_5d_positive_return,0.6507936507936508,0.5,0.6507936507936508,1.0,0.7884615384615384,0.22806056235437464,0.6507936507936508,1.0,1.0,252.0,0.592849223946785,2021-01-04,2021-12-31
1,price_only_logistic_l2,next_5d_positive_return,0.6507936507936508,0.5,0.6507936507936508,1.0,0.7884615384615384,0.22806056235437464,0.6507936507936508,1.0,1.0,252.0,0.592849223946785,2021-01-04,2021-12-31
1,price_only_logistic_elasticnet,next_5d_positive_return,0.6507936507936508,0.5,0.6507936507936508,1.0,0.7884615384615384,0.2276621877628017,0.6507936507936508,1.0,1.0,252.0,0.6226441241685143,2021-01-04,2021-12-31
1,price_only_random_forest,next_5d_positive_return,0.5634920634920635,0.5119179600886918,0.6588235294117647,0.6829268292682927,0.6706586826347305,0.25358805404530677,0.6507936507936508,0.6746031746031746,0.0,252.0,0.49445676274944567,2021-01-04,2021-12-31
2,price_only_baseline_majority,next_5d_positive_return,0.46613545816733065,0.5,0.46613545816733065,1.0,0.6358695652173914,0.5338645418326693,0.46613545816733065,1.0,1.0,251.0,0.5,,
2,price_only_logistic,next_5d_positive_return,0.46613545816733065,0.5,0.46613545816733065,1.0,0.6358695652173914,0.28288488167416753,0.46613545816733065,1.0,1.0,251.0,0.6860568950121189,2022-01-03,2022-12-30
2,price_only_logistic_l2,next_5d_positive_return,0.46613545816733065,0.5,0.46613545816733065,1.0,0.6358695652173914,0.28288488167416753,0.46613545816733065,1.0,1.0,251.0,0.6860568950121189,2022-01-03,2022-12-30
2,price_only_logistic_elasticnet,next_5d_positive_return,0.46613545816733065,0.5,0.46613545816733065,1.0,0.6358695652173914,0.28174933160558535,0.46613545816733065,1.0,1.0,251.0,0.6716417910447762,2022-01-03,2022-12-30
2,price_only_random_forest,next_5d_positive_return,0.4940239043824701,0.5234085980354637,0.47863247863247865,0.9572649572649573,0.6381766381766382,0.3116308122137663,0.46613545816733065,0.9322709163346613,0.0,251.0,0.547327465237913,2022-01-03,2022-12-30
3,price_only_baseline_majority,next_5d_positive_return,0.624,0.5,0.624,1.0,0.7684729064039408,0.376,0.624,1.0,1.0,250.0,0.5,,
3,price_only_logistic,next_5d_positive_return,0.624,0.5,0.624,1.0,0.7684729064039408,0.23481323635633208,0.624,1.0,1.0,250.0,0.5220949263502455,2023-01-03,2023-12-29
3,price_only_logistic_l2,next_5d_positive_return,0.624,0.5,0.624,1.0,0.7684729064039408,0.23481323635633208,0.624,1.0,1.0,250.0,0.5220949263502455,2023-01-03,2023-12-29
3,price_only_logistic_elasticnet,next_5d_positive_return,0.624,0.5,0.624,1.0,0.7684729064039408,0.23464660923201644,0.624,1.0,1.0,250.0,0.5332105837424986,2023-01-03,2023-12-29
