,missing_count,missing_pct
vrp_pct_252d,272,8.68177465687839
abs_vrp_zscore_252d,272,8.68177465687839
rv21_pct_252d,272,8.68177465687839
vrp_zscore_252d,272,8.68177465687839
vix_pct_252d,251,8.011490584104692
rolling_max_252d,251,8.011490584104692
rolling_drawdown,251,8.011490584104692
dist_from_ma_200,199,6.351739546760293
ma_200,199,6.351739546760293
rolling_vol_63d,63,2.010852218321098
realized_variance_63d,63,2.010852218321098
realized_vol_annualized_63d,63,2.010852218321098
return_63d,63,2.010852218321098
VRP_63d,63,2.010852218321098
dist_from_ma_50,49,1.5639961698052984
ma_50,49,1.5639961698052984
next_21d_vol_expansion,42,1.3405681455473986
next_5d_vol_expansion,26,0.8298755186721992
VRP_21d,21,0.6702840727736993
realized_vol_annualized_21d,21,0.6702840727736993
realized_variance_21d,21,0.6702840727736993
return_21d,21,0.6702840727736993
rolling_vol_21d,21,0.6702840727736993
next_21d_realized_volatility,21,0.6702840727736993
next_21d_positive_return,21,0.6702840727736993
next_21d_return,21,0.6702840727736993
vrp_ratio,21,0.6702840727736993
ma_20,19,0.6064474944142995
dist_from_ma_20,19,0.6064474944142995
VRP_5d,5,0.15959144589849983
vix_change_5d,5,0.15959144589849983
next_5d_positive_return,5,0.15959144589849983
next_5d_realized_volatility,5,0.15959144589849983
realized_vol_annualized_5d,5,0.15959144589849983
realized_variance_5d,5,0.15959144589849983
return_5d,5,0.15959144589849983
rolling_vol_5d,5,0.15959144589849983
vix_5d_change,5,0.15959144589849983
next_5d_return,5,0.15959144589849983
log_return,1,0.031918289179699966
ret_1d,1,0.031918289179699966
vix_change_1d,1,0.031918289179699966
vix_daily_change,1,0.031918289179699966
low,0,0.0
close,0,0.0
adj_close,0,0.0
volume,0,0.0
vix,0,0.0
date,0,0.0
open,0,0.0
high,0,0.0
implied_variance,0,0.0
vix_level,0,0.0
low_vrp_decile,0,0.0
high_vrp_decile,0,0.0
