split,model_family,target,mse,rmse,mae,r2,oos_r2,information_coefficient,directional_hit_rate,n_predictions,first_prediction_date,last_prediction_date,newey_west_tstat
0,price_only_baseline_mean,next_5d_return,0.0016608121943725112,0.04075306361946929,0.027408200878560673,-0.0017747659745712685,0.0,,0.6324110671936759,253.0,2020-01-02,2020-12-31,
0,price_only_linear,next_5d_return,0.001723074653103298,0.04150993439049619,0.02836420159130273,-0.03933046326254841,-0.0374891627974292,0.04421853394807863,0.5059288537549407,253.0,2020-01-02,2020-12-31,-2.084338476693671
0,price_only_ridge,next_5d_return,0.0016189512549427544,0.040236193345578236,0.02725489161705755,0.023475068379254838,0.02520510119783448,0.2013453851865355,0.5454545454545454,253.0,2020-01-02,2020-12-31,-2.084338476693671
0,price_only_elastic_net,next_5d_return,0.0016608121943725112,0.04075306361946929,0.027408200878560673,-0.0017747659745712685,0.0,,0.6324110671936759,253.0,2020-01-02,2020-12-31,-2.084338476693671
1,price_only_baseline_mean,next_5d_return,0.0002606470870412058,0.016144568344839877,0.012708318006853427,-0.020074391769854483,0.0,,0.6507936507936508,252.0,2021-01-04,2021-12-31,
1,price_only_linear,next_5d_return,0.00031194790319314953,0.01766204697064158,0.014059180748874151,-0.2208464373259138,-0.1968209840144255,-0.0758681817057012,0.44841269841269843,252.0,2021-01-04,2021-12-31,-0.858531671376806
1,price_only_ridge,next_5d_return,0.00027930355111316466,0.016712377183188652,0.013346980233567137,-0.09308875558574847,-0.07157748925469254,0.22123439237591327,0.4722222222222222,252.0,2021-01-04,2021-12-31,-0.858531671376806
1,price_only_elastic_net,next_5d_return,0.0002606470870412058,0.016144568344839877,0.012708318006853427,-0.020074391769854483,0.0,,0.6507936507936508,252.0,2021-01-04,2021-12-31,-0.858531671376806
2,price_only_baseline_mean,next_5d_return,0.0010817197072160586,0.03288950755508599,0.026366743654968154,-0.037521340183205965,0.0,,0.46613545816733065,251.0,2022-01-03,2022-12-30,
2,price_only_linear,next_5d_return,0.0013581982325986106,0.03685374109366118,0.029365293177960574,-0.3027031319849218,-0.255591650534041,0.3463471826977803,0.4701195219123506,251.0,2022-01-03,2022-12-30,-1.0857428001596776
2,price_only_ridge,next_5d_return,0.001161793567791407,0.03408509304360789,0.027226793793803845,-0.11432343464776107,-0.07402459254572369,0.3937689243027888,0.46613545816733065,251.0,2022-01-03,2022-12-30,-1.0857428001596776
2,price_only_elastic_net,next_5d_return,0.0010817197072160586,0.03288950755508599,0.026366743654968154,-0.037521340183205965,0.0,,0.46613545816733065,251.0,2022-01-03,2022-12-30,-1.0857428001596776
3,price_only_baseline_mean,next_5d_return,0.0003451364194455668,0.018577847546084738,0.014703767102531087,-0.015535080979559801,0.0,,0.624,250.0,2023-01-03,2023-12-29,
3,price_only_linear,next_5d_return,0.00034303777697009875,0.018521279031700234,0.014823461201046263,-0.009360000819386372,0.00608061727834841,0.1153304852877646,0.512,250.0,2023-01-03,2023-12-29,-1.169148175106367
3,price_only_ridge,next_5d_return,0.00034114008987976176,0.018469978069282102,0.01462355648856619,-0.0037762150918323467,0.011578985411695442,0.10882772524360389,0.612,250.0,2023-01-03,2023-12-29,-1.169148175106367
3,price_only_elastic_net,next_5d_return,0.0003451364194455668,0.018577847546084738,0.014703767102531087,-0.015535080979559801,0.0,,0.624,250.0,2023-01-03,2023-12-29,-1.169148175106367
4,price_only_baseline_mean,next_5d_return,0.000303368519124498,0.017417477404162118,0.013393060628496408,-0.01975222921880726,0.0,,0.6587301587301587,252.0,2024-01-02,2024-12-31,
4,price_only_linear,next_5d_return,0.0003076911897482296,0.017541128519802527,0.013704153152328242,-0.034282586612021104,-0.014248909663423737,0.14070651330308356,0.5873015873015873,252.0,2024-01-02,2024-12-31,-1.1977115845700064
4,price_only_ridge,next_5d_return,0.0003055572643361634,0.017480196347185676,0.013608251198444802,-0.027109544391881846,-0.0072148066581925185,0.27607694574609526,0.5634920634920635,252.0,2024-01-02,2024-12-31,-1.1977115845700064
4,price_only_elastic_net,next_5d_return,0.000303368519124498,0.017417477404162118,0.013393060628496408,-0.01975222921880726,0.0,,0.6587301587301587,252.0,2024-01-02,2024-12-31,-1.1977115845700064
5,price_only_baseline_mean,next_5d_return,0.0005469899914597373,0.023387817158934208,0.016351725110094112,-0.0013710495680492318,0.0,,0.636,250.0,2025-01-02,2025-12-31,
5,price_only_linear,next_5d_return,0.0005144220677346815,0.022680874492282732,0.015754987013796174,0.05825083834945899,0.0595402552762303,0.20450900014400228,0.628,250.0,2025-01-02,2025-12-31,-1.3077710493036907
5,price_only_ridge,next_5d_return,0.000538669107652784,0.0232092461672667,0.016423709475569873,0.013861938752023129,0.015212131733430057,0.0695492727883646,0.576,250.0,2025-01-02,2025-12-31,-1.3077710493036907
5,price_only_elastic_net,next_5d_return,0.0005469899914597373,0.023387817158934208,0.016351725110094112,-0.0013710495680492318,0.0,,0.636,250.0,2025-01-02,2025-12-31,-1.3077710493036907
6,price_only_baseline_mean,next_5d_return,0.0003577595938932898,0.018914533932753667,0.015076452457595242,-0.003378074425927302,0.0,,0.5818181818181818,110.0,2026-01-02,2026-06-10,
6,price_only_linear,next_5d_return,0.00040822755424158366,0.020204641898375324,0.016599743561967115,-0.14492129433907164,-0.1410666861483163,-0.2883709397470865,0.36363636363636365,110.0,2026-01-02,2026-06-10,-1.6536655267478213
6,price_only_ridge,next_5d_return,0.00035129940405153313,0.018742982794943103,0.015130324033902326,0.014740273633750967,0.018057348990852207,0.08438112841782566,0.6,110.0,2026-01-02,2026-06-10,-1.6536655267478213
