date,adj_close,ret_1d,buy_hold_signal,buy_hold_position,buy_hold_ret,equity_buy_hold,ma_200_filter_signal,ma_200_filter_position,ma_200_filter_ret,equity_ma_200_filter,vix_pct_filter_signal,vix_pct_filter_position,vix_pct_filter_ret,equity_vix_pct_filter,vrp_pct_filter_signal,vrp_pct_filter_position,vrp_pct_filter_ret,equity_vrp_pct_filter,combined_filter_signal,combined_filter_position,combined_filter_ret,equity_combined_filter
2014-01-02,148.58026123046875,,1.0,0.0,,1.0,0.0,0.0,,1.0,0.0,0.0,,1.0,0.0,0.0,,1.0,0.0,0.0,,1.0
2014-01-03,148.5558624267578,-0.0001642129547281268,1.0,1.0,-0.0003642129547281268,0.9996357870452719,0.0,0.0,-0.0,1.0,0.0,0.0,-0.0,1.0,0.0,0.0,-0.0,1.0,0.0,0.0,-0.0,1.0
2014-01-06,148.1254119873047,-0.0028975661574133227,1.0,1.0,-0.0028975661574133227,0.9967392762189903,0.0,0.0,-0.0,1.0,0.0,0.0,-0.0,1.0,0.0,0.0,-0.0,1.0,0.0,0.0,-0.0,1.0
2014-01-07,149.03512573242188,0.006141510311513221,1.0,1.0,0.006141510311513221,1.0028607607617794,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2014-01-08,149.06764221191406,0.00021817997154949254,1.0,1.0,0.00021817997154949254,1.0030795648940305,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2014-01-09,149.16506958007812,0.0006535782462135931,1.0,1.0,0.0006535782462135931,1.0037351558768666,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2014-01-10,149.57127380371094,0.0027231859628822352,1.0,1.0,0.0027231859628822352,1.0064685133638018,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2014-01-13,147.58123779296875,-0.013304934564867033,1.0,1.0,-0.013304934564867033,0.9930775156518975,0.0,0.0,-0.0,1.0,0.0,0.0,-0.0,1.0,0.0,0.0,-0.0,1.0,0.0,0.0,-0.0,1.0
2014-01-14,149.18946838378906,0.010897256418707979,1.0,1.0,0.010897256418707979,1.0038993359836097,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2014-01-15,149.9936065673828,0.005390046578389152,1.0,1.0,0.005390046578389152,1.0093104001645752,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2014-01-16,149.79869079589844,-0.001299493864738932,1.0,1.0,-0.001299493864738932,1.0079988074919441,0.0,0.0,-0.0,1.0,0.0,0.0,-0.0,1.0,0.0,0.0,-0.0,1.0,0.0,0.0,-0.0,1.0
2014-01-17,149.16506958007812,-0.004229818114255934,1.0,1.0,-0.004229818114255934,1.0037351558768663,0.0,0.0,-0.0,1.0,0.0,0.0,-0.0,1.0,0.0,0.0,-0.0,1.0,0.0,0.0,-0.0,1.0
2014-01-21,149.60372924804688,0.0029407666902421248,1.0,1.0,0.0029407666902421248,1.006686906789094,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2014-01-22,149.70120239257812,0.0006515422110209279,1.0,1.0,0.0006515422110209279,1.0073428058021492,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2014-01-23,148.47467041015625,-0.008193200607737317,1.0,1.0,-0.008193200607737317,0.9990894441134512,0.0,0.0,-0.0,1.0,0.0,0.0,-0.0,1.0,0.0,0.0,-0.0,1.0,0.0,0.0,-0.0,1.0
2014-01-24,145.3068389892578,-0.021335837366383226,1.0,1.0,-0.021335837366383226,0.9777730342193764,0.0,0.0,-0.0,1.0,0.0,0.0,-0.0,1.0,0.0,0.0,-0.0,1.0,0.0,0.0,-0.0,1.0
2014-01-27,144.592041015625,-0.0049192314594749265,1.0,1.0,-0.0049192314594749265,0.9729631423492182,0.0,0.0,-0.0,1.0,0.0,0.0,-0.0,1.0,0.0,0.0,-0.0,1.0,0.0,0.0,-0.0,1.0
2014-01-28,145.45306396484375,0.0059548433175911075,1.0,1.0,0.0059548433175911075,0.9787569854156989,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2014-01-29,144.05589294433594,-0.009605648601843875,1.0,1.0,-0.009605648601843875,0.9693553897471957,0.0,0.0,-0.0,1.0,0.0,0.0,-0.0,1.0,0.0,0.0,-0.0,1.0,0.0,0.0,-0.0,1.0
2014-01-30,145.58303833007812,0.010601061536110068,1.0,1.0,0.010601061536110068,0.9796315858842657,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2014-01-31,144.7301025390625,-0.005858758003674747,1.0,1.0,-0.005858758003674747,0.9738921614898136,0.0,0.0,-0.0,1.0,0.0,0.0,-0.0,1.0,0.0,0.0,-0.0,1.0,0.0,0.0,-0.0,1.0
2014-02-03,141.47288513183594,-0.022505459127602268,1.0,1.0,-0.022505459127602268,0.9519742712547123,0.0,0.0,-0.0,1.0,0.0,0.0,-0.0,1.0,0.0,0.0,-0.0,1.0,0.0,0.0,-0.0,1.0
2014-02-04,142.46389770507812,0.0070049647486774,1.0,1.0,0.0070049647486774,0.9586428174664995,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2014-02-05,142.28518676757812,-0.0012544296511524111,1.0,1.0,-0.0012544296511524111,0.9574402674914052,0.0,0.0,-0.0,1.0,0.0,0.0,-0.0,1.0,0.0,0.0,-0.0,1.0,0.0,0.0,-0.0,1.0
2014-02-06,144.1614990234375,0.013186982415283488,1.0,1.0,0.013186982415283488,0.9700660154624987,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2014-02-07,145.94857788085938,0.012396367057277535,1.0,1.0,0.012396367057277535,0.9820913098599625,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2014-02-10,146.216552734375,0.0018360908849306412,1.0,1.0,0.0018360908849306412,0.9838945187621659,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
