target,model_name,feature_group,train_start,train_end,test_start,test_end,n_predictions,first_prediction_date,last_prediction_date,positive_rate_actual,positive_rate_predicted,accuracy,balanced_accuracy,precision,recall,F1,Brier_score,average_predicted_probability,degenerate_classifier,ROC_AUC
next_5d_vol_expansion,logistic,rv_only,2014-04-03,2019-04-03,2019-04-04,2020-04-03,253,2019-04-04,2020-04-03,0.4308300395256917,0.20553359683794467,0.7035573122529645,0.6659977064220184,0.8269230769230769,0.3944954128440367,0.5341614906832298,0.20694181659032387,0.3631717282773027,False,0.7649082568807339
next_5d_vol_expansion,logistic,rv_only,2014-04-03,2020-04-03,2020-04-04,2021-04-03,250,2020-04-06,2021-04-01,0.26,0.1,0.72,0.5363825363825364,0.4,0.15384615384615385,0.2222222222222222,0.1831837247961376,0.2566144450868834,False,0.669106029106029
next_5d_vol_expansion,logistic,rv_only,2014-04-03,2021-04-03,2021-04-04,2022-04-03,253,2021-04-05,2022-04-01,0.44664031620553357,0.15019762845849802,0.5691699604743083,0.5322060682680152,0.5526315789473685,0.18584070796460178,0.2781456953642384,0.24198943896174882,0.3548734376207675,False,0.6377370417193425
next_5d_vol_expansion,logistic,rv_only,2014-04-03,2022-04-03,2022-04-04,2023-04-03,251,2022-04-04,2023-04-03,0.398406374501992,0.03187250996015936,0.6095617529880478,0.5150662251655629,0.625,0.05,0.09259259259259259,0.26860982040803133,0.2545865176273056,False,0.5352317880794701
next_5d_vol_expansion,logistic,rv_only,2014-04-03,2023-04-03,2023-04-04,2024-04-03,251,2023-04-04,2024-04-03,0.41832669322709165,0.08366533864541832,0.5856573705179283,0.5181343770384866,0.5238095238095238,0.10476190476190476,0.1746031746031746,0.23675249863852685,0.40629916555666706,False,0.5920417482061318
next_5d_vol_expansion,logistic,rv_only,2014-04-03,2024-04-03,2024-04-04,2025-04-03,251,2024-04-04,2025-04-03,0.4103585657370518,0.15139442231075698,0.6932270916334662,0.6350695355549725,0.8421052631578947,0.3106796116504854,0.45390070921985815,0.21434953016034589,0.39560707379624277,False,0.7333377066386776
next_5d_vol_expansion,logistic,rv_only,2014-04-03,2025-04-03,2025-04-04,2026-04-03,250,2025-04-04,2026-04-02,0.312,0.148,0.58,0.43902802623732856,0.13513513513513514,0.0641025641025641,0.08695652173913043,0.2304953901345494,0.3996758858594109,False,0.5112552176505665
next_5d_vol_expansion,logistic,rv_only,2014-04-03,2026-04-03,2026-04-04,2026-06-10,47,2026-04-06,2026-06-10,0.3404255319148936,0.10638297872340426,0.723404255319149,0.6088709677419355,0.8,0.25,0.38095238095238093,0.1883347296216437,0.36281458566072844,False,0.7963709677419355
next_5d_vol_expansion,random_forest,rv_only,2014-04-03,2019-04-03,2019-04-04,2020-04-03,253,2019-04-04,2020-04-03,0.4308300395256917,0.32806324110671936,0.6679841897233202,0.6470119775739043,0.6506024096385542,0.4954128440366973,0.5625,0.22622427601369588,0.42161445795282554,False,0.686894750254842
next_5d_vol_expansion,random_forest,rv_only,2014-04-03,2020-04-03,2020-04-04,2021-04-03,250,2020-04-06,2021-04-01,0.26,0.196,0.696,0.565072765072765,0.3877551020408163,0.2923076923076923,0.3333333333333333,0.19099411246292383,0.30062380605159983,False,0.668024948024948
