method,decile_type,decile,n_obs,avg_next_5d_vol,median_next_5d_vol,avg_next_21d_vol,median_next_21d_vol,vol_expansion_rate_5d,vol_expansion_rate_21d,avg_next_5d_return,avg_next_21d_return
historical rolling percentiles -> deciles,vrp_decile,0,315,0.181280512649638,0.14733632879390696,0.18172675391165963,0.1603565943491651,0.11428571428571428,0.10476190476190476,0.004737597512579385,0.016013190548757685
historical rolling percentiles -> deciles,vrp_decile,1,279,0.12256815678409967,0.10503603430011169,0.142095193950907,0.10864685317820517,0.16487455197132617,0.24731182795698925,0.0013790173260045501,0.010145711908667313
historical rolling percentiles -> deciles,vrp_decile,2,268,0.12040031977060921,0.1011291300518356,0.14375390386825435,0.11091361129248614,0.2574626865671642,0.3694029850746269,0.0010765959613321862,0.008797983744958908
historical rolling percentiles -> deciles,vrp_decile,3,306,0.10757221578952669,0.08825736629582234,0.1230327150615201,0.10122276531920857,0.2549019607843137,0.35947712418300654,0.002419725578001947,0.011646945348661706
historical rolling percentiles -> deciles,vrp_decile,4,246,0.11625300399907557,0.10506916576485345,0.1275436607141637,0.1140957730448493,0.3252032520325203,0.44308943089430897,0.0037357292764467484,0.010392800478273465
historical rolling percentiles -> deciles,vrp_decile,5,277,0.10528538392225172,0.08479350292908189,0.12441929339938217,0.10562768575466731,0.35018050541516244,0.5054151624548736,0.0019055771299960275,0.008791925240014205
historical rolling percentiles -> deciles,vrp_decile,6,254,0.11333506660005105,0.1015854870997995,0.13328008745270428,0.12464507051698348,0.4330708661417323,0.65748031496063,-6.1659952000426e-05,0.00382785670151623
historical rolling percentiles -> deciles,vrp_decile,7,267,0.12098951423163536,0.11061096384334235,0.13540113182578106,0.12269163136058513,0.4868913857677903,0.6816479400749064,0.0024072565391546888,0.008721641595256723
historical rolling percentiles -> deciles,vrp_decile,8,280,0.14866537098640803,0.12642392887233891,0.15148193989427536,0.13639591045869726,0.6214285714285714,0.6964285714285714,0.0037042933709164924,0.011686946025289989
historical rolling percentiles -> deciles,vrp_decile,9,348,0.22300355274058553,0.1787067040403123,0.20267292387501867,0.17209232965991328,0.7068965517241379,0.7097701149425287,0.00612397566449445,0.024308549070518902
historical rolling percentiles -> deciles,vix_decile,0,494,0.08508207267396542,0.07183106127650554,0.10161855713572622,0.09651241699054702,0.2793522267206478,0.4676113360323887,0.002716909812132597,0.01384972315797123
historical rolling percentiles -> deciles,vix_decile,1,277,0.09070673837799578,0.07541589354710382,0.1108019047650303,0.10332287261034188,0.3862815884476534,0.592057761732852,0.0015471596757425602,0.007361119684268627
