target,model_name,feature_group,n_predictions,first_prediction_date,last_prediction_date,mse,rmse,mae,r2,OOS_R2_vs_rv21_baseline,information_coefficient,directional_vol_hit_rate,train_start,train_end,test_start,test_end
next_5d_realized_volatility,vix_direct_forecast,benchmark,2856,2015-02-02,2026-06-10,0.008810361424032884,0.09386352552526932,0.0708644948007462,0.3318180766151968,0.12498330092779986,0.6446793877300061,0.4880952380952381,,,,
next_5d_realized_volatility,rv21_direct_forecast,benchmark,2856,2015-02-02,2026-06-10,0.01006879232519186,0.10034337210395045,0.06280777897519103,0.23637808959155693,0.0,0.5328162776738816,0.6235994397759104,,,,
next_5d_realized_volatility,avg_vix_rv21_forecast,benchmark,2856,2015-02-02,2026-06-10,0.008283533992673394,0.09101392197171482,0.06301620303927029,0.3717729149510487,0.1773061033399006,0.6170229238772127,0.4880952380952381,,,,
next_5d_realized_volatility,linear,rv_only,253,2019-04-04,2020-04-03,0.030869374930919152,0.1756968267525602,0.08500210280248045,0.5098761247751846,0.05333069757951492,0.5375182845227351,0.6837944664031621,2014-04-03,2019-04-03,2019-04-04,2020-04-03
next_5d_realized_volatility,linear,rv_only,250,2020-04-06,2021-04-01,0.010777820024905444,0.10381628015347807,0.07546196698035855,-0.18398685197818532,0.39486449784178845,0.37580031680506887,0.688,2014-04-03,2020-04-03,2020-04-04,2021-04-03
next_5d_realized_volatility,linear,rv_only,253,2021-04-05,2022-04-01,0.0036333143333990873,0.06027698012839634,0.04828354796141074,0.28376121527751363,0.14707967268588684,0.49456984872938314,0.6086956521739131,2014-04-03,2021-04-03,2021-04-04,2022-04-03
next_5d_realized_volatility,linear,rv_only,251,2022-04-04,2023-04-03,0.00935546393115422,0.09672364721801086,0.07363867526073127,-0.18662732688199024,-0.13706990830917953,0.231782963384557,0.5338645418326693,2014-04-03,2022-04-03,2022-04-04,2023-04-03
next_5d_realized_volatility,linear,rv_only,251,2023-04-04,2024-04-03,0.002069952545947351,0.04549673115672544,0.035708770972265776,-0.3969113337980934,-0.03082799623427679,-0.040865869853917665,0.5697211155378487,2014-04-03,2023-04-03,2023-04-04,2024-04-03
next_5d_realized_volatility,linear,rv_only,251,2024-04-04,2025-04-03,0.009501323953023711,0.09747473494718367,0.053819913497918294,0.17784416278723125,0.06054204301280963,0.43935723771580343,0.6733067729083665,2014-04-03,2024-04-03,2024-04-04,2025-04-03
next_5d_realized_volatility,linear,rv_only,250,2025-04-04,2026-04-02,0.009314917239177387,0.09651381890267004,0.06154205013702129,0.1165442746037485,0.37357415965741103,0.27976268420294725,0.516,2014-04-03,2025-04-03,2025-04-04,2026-04-03
next_5d_realized_volatility,linear,rv_only,47,2026-04-06,2026-06-10,0.003671933607952467,0.06059648181167342,0.0471306629634401,-0.25222018855575423,0.30322199119138327,-0.09054116558741905,0.6595744680851063,2014-04-03,2026-04-03,2026-04-04,2026-06-10
next_5d_realized_volatility,ridge,rv_only,253,2019-04-04,2020-04-03,0.030875250240439255,0.17571354597878688,0.08500824939497854,0.5097828404285926,0.05315051980858998,0.5374278808034372,0.6837944664031621,2014-04-03,2019-04-03,2019-04-04,2020-04-03
next_5d_realized_volatility,ridge,rv_only,250,2020-04-06,2021-04-01,0.010774632003688094,0.10380092486913638,0.07544930518738101,-0.183636635032973,0.39504349366986824,0.3758871021936351,0.688,2014-04-03,2020-04-03,2020-04-04,2021-04-03
next_5d_realized_volatility,ridge,rv_only,253,2021-04-05,2022-04-01,0.003632954705953959,0.0602739969303012,0.04828025712590578,0.28383210898519096,0.1471640952076022,0.49453650309521585,0.6086956521739131,2014-04-03,2021-04-03,2021-04-04,2022-04-03
next_5d_realized_volatility,ridge,rv_only,251,2022-04-04,2023-04-03,0.009353845406277534,0.09671528010752765,0.07363137632337574,-0.18642203659793322,-0.13687319161541955,0.23193018402580157,0.5338645418326693,2014-04-03,2022-04-03,2022-04-04,2023-04-03
next_5d_realized_volatility,ridge,rv_only,251,2023-04-04,2024-04-03,0.002069660851770088,0.045493525382960684,0.035706344229439156,-0.3967144834388814,-0.030682733713718102,-0.040865869853917665,0.5697211155378487,2014-04-03,2023-04-03,2023-04-04,2024-04-03
